Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-06-23
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;25,2;24,1;25,4;25,1;24,2;23,8;94;92;94;216;2,2;,5;
2015-01-01;0100;0;25,1;24,2;25,3;25,1;24,3;24;95;94;95;13;1,8;,9;
2015-01-01;0200;0;25,1;24,2;25,2;25;24,3;24,1;95;95;95;325;1,9;,4;
2015-01-01;0300;,8;24,1;22,4;25,1;24,1;24,3;22,4;95;90;91;78;7,8;3,7;
2015-01-01;0400;,6;23,4;22,3;24,1;23,3;22,4;22;93;91;93;309;7,1;1,2;
2015-01-01;0500;,2;23,7;22,9;23,7;23,4;22,9;22,3;95;93;95;274;2,3;,7;
2015-01-01;0600;0;23,9;23,1;23,9;23,6;23,1;22,8;96;95;96;291;2,2;1,2;
2015-01-01;0700;0;23,9;23,2;24,1;23,9;23,4;23,1;96;96;96;322;2,3;1,4;
2015-01-01;0800;0;24,1;23,4;24,1;23,9;23,4;23,2;96;96;96;236;2;,6;
2015-01-01;0900;0;23,9;23,2;24,1;23,8;23,4;23,2;96;96;96;289;1,5;,9;
2015-01-01;1000;0;23,9;23,3;24;23,8;23,4;23,2;96;96;96;215;2;1;
2015-01-01;1100;0;24,7;24;24,7;23,9;24,1;23,3;96;96;96;248;1,5;1;
2015-01-01;1200;0;25,9;24,9;26;24,6;25,1;24;96;94;94;345;1,9;1,1;
2015-01-01;1300;0;27,3;24,7;27,4;25,9;25,5;24,7;94;86;86;8;3,4;1,2;
2015-01-01;1400;0;28,4;24,5;28,7;27,2;25,2;24,3;86;78;79;31;3,6;1,7;
2015-01-01;1500;2;27,5;25;28,5;26,7;25,3;24,3;89;79;86;62;6,3;2,7;
2015-01-01;1600;0;29,5;24,2;29,7;27,5;25,4;23,8;87;72;73;51;6,2;4,1;
2015-01-01;1700;0;30,1;23,3;30,3;29,5;24,7;22,8;75;65;67;50;7,5;4,7;
2015-01-01;1800;0;31;23,1;31,2;29,8;23,9;22,6;68;62;63;57;8;4,7;
2015-01-01;1900;,2;30,2;22,1;31,1;30,2;23,4;22;64;60;62;57;9,3;5,4;
2015-01-01;2000;0;29,5;22,3;30,2;29,5;22,6;21,7;66;62;65;52;8,5;3,8;
2015-01-01;2100;0;27,8;23;29,5;27,8;23,1;22;75;65;75;38;8,4;2,6;
