Nome: PORTO DE MOZ
Codigo Estacao: A245
Latitude: -1.82194443
Longitude: -52.11166666
Altitude: 19
Situacao: Operante
Data Inicial: 2022-04-06
Data Final: 2024-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2022-04-06;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-06;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2022-04-07;1900;0;26,4;23,9;30,4;26;25,8;23,9;92;75;86;292;5,4;1,1;
2022-04-07;2000;0;26,3;24,7;27;26,3;24,8;23,8;91;84;91;140;4;,4;
2022-04-07;2100;0;26,2;24,9;26,4;26,2;25,1;24,5;93;90;93;145;2;1,2;
2022-04-07;2200;0;25,4;24,8;26,2;25,4;25;24,7;96;93;96;205;2;1;
2022-04-07;2300;0;25,4;24,9;25,4;25,3;24,9;24,7;97;96;97;93;1,8;,5;
2022-04-08;0000;0;25,5;24,9;25,6;25,4;25;24,9;97;96;96;130;2;,8;
2022-04-08;0100;0;25,6;24,2;25,7;25,5;24,9;24,2;96;92;92;87;3,6;1,2;
2022-04-08;0200;0;25,3;23,8;25,6;25,2;24,3;23,8;93;91;91;105;3,3;1,1;
2022-04-08;0300;0;24,9;23,7;25,4;24,9;23,9;23,7;93;91;93;108;3,5;1,5;
2022-04-08;0400;0;24,6;23,7;24,9;24,6;23,8;23,7;95;93;95;80;3,5;,6;
2022-04-08;0500;0;24,4;23,8;24,5;24,1;23,8;23,6;97;95;96;101;2,8;1,3;
2022-04-08;0600;0;24,6;23,9;24,6;24,4;24;23,8;97;96;96;88;3,3;1,1;
2022-04-08;0700;0;24,6;23,9;24,6;24,5;24;23,9;96;96;96;89;3,3;1,2;
2022-04-08;0800;0;24,6;23,8;24,6;24,6;23,9;23,8;96;95;95;97;4;1,7;
2022-04-08;0900;0;24,5;23,8;24,6;24,5;23,9;23,7;96;95;96;98;4;,9;
2022-04-08;1000;0;24,7;23,7;24,7;24,5;23,8;23,6;96;94;95;104;4,6;1,8;
2022-04-08;1100;0;25,3;24;25,3;24,7;24;23,6;95;92;92;97;4,6;1,3;
2022-04-08;1200;0;26,4;24,3;26,4;25,3;24,4;23,7;92;86;88;108;4,4;2,2;
2022-04-08;1300;0;27,6;24,1;28,2;26,4;25,1;23,8;89;80;81;100;6;2,3;
2022-04-08;1400;0;29,2;24,6;30;27,4;25,4;23,7;83;72;76;102;5;1,7;
2022-04-08;1500;0;30,4;24,9;30,4;28,7;25,3;23,6;78;71;72;97;5,7;1,9;
2022-04-08;1600;0;30;23,9;31,2;28,9;25,2;23,4;78;66;70;132;5,7;2,5;
2022-04-08;1700;0;31,6;23,9;32;29,9;26,2;23,6;74;63;64;156;6,6;2,5;
2022-04-08;1800;0;32,7;24,6;33,2;30,5;25,8;23,5;71;62;62;98;5,1;1,5;
2022-04-08;1900;9,8;26,4;25,4;32,6;25,4;25,4;23,8;97;62;94;5;9,3;,5;
2022-04-08;2000;,6;24,4;23,6;26,5;24,3;25,4;22,5;96;87;96;46;12,1;,6;
2022-04-08;2100;0;24,1;23,2;24,4;24;23,8;23,1;96;94;95;76;2,8;1,2;
2022-04-08;2200;0;24;23,2;24,1;24;23,3;23,1;95;94;95;78;3,5;1;
2022-04-08;2300;0;24;23,4;24;23,9;23,4;23,1;96;95;96;73;2,2;,9;
2022-04-09;0000;0;24;23,5;24,1;24;23,6;23,4;97;96;97;62;2,2;,4;
2022-04-09;0100;0;24,2;23,8;24,2;23,9;23,8;23,4;98;97;98;52;1,4;,5;
