Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-01-31;13;134,2;931,5;25;8,3;2,1;
2015-02-28;20;291;931,4;23,4;8,2;2,4;
2015-03-31;21;264,8;931,2;23,4;8,9;1,7;
2015-04-30;26;351,4;931,5;23,7;7,1;2;
2015-05-31;10;38,2;932,6;24,4;8,9;2,8;
2015-06-30;0;0;934,2;24,1;10,6;4,1;
2015-07-31;null;null;933,9;24,5;8,9;3,9;
2015-08-31;null;null;null;null;10;null;
2015-09-30;4;null;null;27,9;9,5;null;
2015-10-31;11;90,4;930,8;28;9;3,2;
2015-11-30;14;106,8;929,8;26;7,6;2,4;
2015-12-31;13;159,6;931,1;26,1;8,2;2,6;
2016-01-31;26;364,4;931,1;23,4;11,4;2,5;
2016-02-29;5;24;931,4;26,2;8,2;2,9;
2016-03-31;20;53,8;931,8;25,5;9,4;2,3;
2016-04-30;4;4,4;931,2;26,3;8,6;2,8;
2016-05-31;0;0;932,9;26,5;8,4;3,1;
2016-06-30;0;0;934,3;25,1;10,1;3,5;
2016-07-31;0;0;933,9;25,2;8,8;3,6;
2016-08-31;0;0;932,8;27;9;3,7;
2016-09-30;3;,6;932,1;27,1;9,9;3,4;
2016-10-31;null;null;930,3;26,8;10,2;3,2;
2016-11-30;null;null;929,6;26,3;9,6;2,9;
2016-12-31;null;null;930,3;24,9;10;2,6;
2017-01-31;null;null;930,7;24,4;9,5;2,2;
2017-02-28;9;132,2;930,9;23,1;7,4;2,2;
2017-03-31;21;253,8;930,9;24;6,9;1,9;
2017-04-30;14;187,8;931,2;25,2;6,7;2,1;
2017-05-31;3;39;932,1;25,6;8,2;2,9;
2017-06-30;0;0;933,4;24,6;9,7;3,7;
2017-07-31;0;0;935,8;22,5;10;4,7;
2017-08-31;0;0;932,7;26,5;11;3,6;
2017-09-30;0;0;932,9;26,4;10,8;4,8;
2017-10-31;3;14,8;929,9;28,9;9,3;3,5;
2017-11-30;17;174;929,6;24,5;7,9;2,5;
2017-12-31;23;428,4;930,1;23,6;7,4;2,3;
2018-01-31;24;215,6;930,6;23,7;7,6;2;
2018-02-28;20;443,4;930,5;23,3;7,1;1,9;
2018-03-31;4;null;930,8;23,6;7,6;2;
2018-04-30;3;null;931,9;23,9;8;2,4;
2018-05-31;1;,4;932,8;24,8;8,7;3,1;
2018-06-30;0;0;934,1;24,3;9,8;3,4;
2018-07-31;0;0;933,9;24,4;8,6;3,5;
2018-08-31;2;4,2;933,4;26,2;10;3,6;
2018-09-30;1;2;930,6;28;8,8;2,8;
2018-10-31;18;63;930,1;26,2;7,3;2,4;
2018-11-30;18;281,6;930;24,2;7,7;2,7;
2018-12-31;null;null;null;null;6,7;null;
2019-01-31;null;null;null;null;6,6;null;
2019-02-28;11;null;null;23,8;7,3;null;
2019-03-31;26;270,6;931,6;23,7;9,2;2,1;
2019-04-30;22;125,4;931,6;24,5;7,5;1,9;
2019-05-31;5;25,6;931,8;25,7;6,2;2,2;
2019-06-30;1;,4;934,3;24,5;8,8;3,5;
2019-07-31;0;0;934;24,5;9,4;3,6;
2019-08-31;null;0;934,6;25,7;10,7;4;
2019-09-30;2;11,2;931,9;27,9;10;3,5;
2019-10-31;8;73,8;930,3;26,8;7,9;2,4;
2019-11-30;20;248,8;929,4;25,2;10,2;2,2;
2019-12-31;19;116,4;929,8;25,5;8,2;2,2;
