Nome: SOURE
Codigo Estacao: A227
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.54
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-01-31;15;120,4;1010,3;27,9;5,4;2,9;
2015-02-28;21;334,6;1010;27;5,5;2,4;
2015-03-31;30;662,6;1010;26,2;7,1;1,7;
2015-04-30;26;523;1010,3;26,4;7,4;1,9;
2015-05-31;29;239,8;1010,5;27,4;6;2,2;
2015-06-30;18;156,4;1011,8;27,7;6,3;2,5;
2015-07-31;21;186,2;1011,6;27,6;6;2,9;
2015-08-31;10;null;1011,1;27,9;5,7;3,2;
2015-09-30;null;null;null;null;5,7;null;
2015-10-31;1;null;null;28,5;6;null;
2015-11-30;2;7,4;1008,9;28,7;5,9;3,5;
2015-12-31;6;8,6;1010,1;28,9;6,6;3,5;
2016-01-31;22;209,2;1010,1;27,8;6,2;2,8;
2016-02-29;26;499;1009,8;27,2;7,7;2,4;
2016-03-31;30;655;1010,6;27,1;5,5;2;
2016-04-30;23;457,2;1009,4;27,5;6,9;2,1;
2016-05-31;1;null;null;null;null;null;
2016-06-30;2;null;null;null;null;null;
2016-07-31;19;109,6;1011,7;27,9;6,2;2,5;
2016-08-31;6;62,2;1011,5;28,2;5,3;3;
2016-09-30;2;2,2;1011,2;28,4;5,4;3,2;
2016-10-31;7;19,8;1009,2;28,5;5,6;3,2;
2016-11-30;1;,6;1008,3;28,8;5,9;3,4;
2016-12-31;13;209,8;1008,8;28,1;5,7;2,7;
2017-01-31;29;395,8;1009,6;26,6;6,5;2;
2017-02-28;11;null;null;null;5,1;null;
2017-03-31;11;null;null;null;5,4;null;
2017-04-30;13;null;null;null;5,4;null;
2017-05-31;15;null;null;27,9;6,3;null;
2017-06-30;1;null;null;null;7,9;null;
2017-07-31;null;null;null;null;6,1;null;
2017-08-31;null;null;1011,2;28,4;5,7;3,2;
2017-09-30;null;null;null;28,5;5,9;null;
2017-10-31;2;null;null;28,6;5,7;null;
2017-11-30;1;,8;1008,4;28,6;5,9;3,4;
2017-12-31;13;201,4;1008,7;27,9;6,2;2,9;
2018-01-31;18;79,6;1009,3;26,8;7,6;2,4;
2018-02-28;20;218;1009,6;25,8;5,7;1,6;
2018-03-31;25;268,4;1009,5;26,9;5,6;2,3;
2018-04-30;28;314,6;1010,5;26,2;5,9;1,5;
2018-05-31;27;223,6;1011;26,6;5,6;1,7;
2018-06-30;22;49,4;1011,7;27,6;5,6;2,5;
2018-07-31;18;113,8;1011,7;27,5;5,5;2,6;
2018-08-31;8;65,8;1012,3;27,7;5,2;2,9;
2018-09-30;4;1,8;1009,8;28,4;5,8;3,3;
2018-10-31;1;4,2;1009,4;28,6;5,8;3,2;
2018-11-30;5;41,6;1008,5;28,8;5,4;3,3;
2018-12-31;11;null;1010,3;26,5;5,1;1,8;
